Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par EPCI,,,,
,,,,
,,,,
Siren EPCI,Champ,T3 2017,T4 2017,T1 2018
200040681,Catégorie,10,10,10
200040715,Locaux Raccordables,120984,125077,130361
200040715,Catégorie,50,50,50
200040764,Locaux Raccordables,0,0,0
200040764,Catégorie,0,0,0
200040772,Locaux Raccordables,0,0,0
200040772,Catégorie,0,0,0
200040798,Locaux Raccordables,0,0,0
200040798,Catégorie,0,0,0
200040814,Locaux Raccordables,0,0,0
200040814,Catégorie,0,0,0
200040830,Locaux Raccordables,0,0,0
200040830,Catégorie,0,0,0
200040889,Locaux Raccordables,0,0,0
200040889,Catégorie,0,0,0
200040905,Locaux Raccordables,0,0,0
200040905,Catégorie,0,0,0
200040947,Locaux Raccordables,1,419,663
200040947,Catégorie,5,5,5
200040954,Locaux Raccordables,2227,2357,2483
200040954,Catégorie,5,10,10
200041010,Locaux Raccordables,0,0,0
200041010,Catégorie,0,0,0
200041051,Locaux Raccordables,0,0,0
200041051,Catégorie,0,0,0
200041150,Locaux Raccordables,0,0,0
200041150,Catégorie,0,0,0
200041168,Locaux Raccordables,0,0,0
200041168,Catégorie,0,0,0
200041283,Locaux Raccordables,0,1896,1960
200041283,Catégorie,0,10,10
200041317,Locaux Raccordables,22231,25752,26848
200041317,Catégorie,25,25,25
200041325,Locaux Raccordables,0,0,0
200041325,Catégorie,0,0,0
200041333,Locaux Raccordables,0,0,0
200041333,Catégorie,0,0,0
200041366,Locaux Raccordables,3515,3853,4128
200041366,Catégorie,10,10,10
200041416,Locaux Raccordables,0,0,0
200041416,Catégorie,0,0,0
200041440,Locaux Raccordables,0,0,0
200041440,Catégorie,0,0,0
200041465,Locaux Raccordables,0,0,0
200041465,Catégorie,0,0,0
200041499,Locaux Raccordables,0,0,0
200041499,Catégorie,0,0,0
200041507,Locaux Raccordables,18820,18820,18820
200041507,Catégorie,25,25,25
200041515,Locaux Raccordables,0,0,0
200041515,Catégorie,0,0,0
200041523,Locaux Raccordables,0,0,0
200041523,Catégorie,0,0,0
200041556,Locaux Raccordables,0,0,0
200041556,Catégorie,0,0,0
200041572,Locaux Raccordables,0,0,0
200041572,Catégorie,0,0,0
