Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200039832,CC Pays des Vans en Cévennes, 7 934    , 302    
200039857,CA du Pays de Grasse, 53 336    , 3 030    
200039865,Metz Métropole, 113 955    , 6 669    
200039907,CC du Sud Messin, 6 529    , 350    
200039915,CA Cannes Pays de Lérins, 132 370    , 7 129    
200039931,CC Alpes d'Azur, 11 157    , 291    
200039949,CC Rives de Moselle, 23 234    , 1 569    
200040038,CC Saône Doubs Bresse, 6 004    , 212    
200040095,CC Isle Vern Salembre en Périgord, 10 031    , 348    
200040111,CC Coeur de Chartreuse, 9 361    , 409    
200040137,CC des Lacs de Champagne, 5 381    , 275    
200040178,CC de l'Outre-Forêt, 7 229    , 385    
200040202,CC Provence Verdon, 13 231    , 381    
200040210,CC Lacs et Gorges du Verdon, 7 761    , 251    
200040244,CA du Bocage Bressuirais, 34 222    , 2 007    
200040251,CC Bassée-Montois, 11 602    , 475    
200040277,CA du Pays de Dreux, 52 079    , 2 655    
200040293,CC du Clunisois, 8 859    , 428    
200040350,CC Bugey Sud, 18 407    , 862    
200040384,CC Isle Double Landais, 6 728    , 282    
200040392,CA Le Grand Périgueux, 56 512    , 3 421    
200040400,CC du Pays Ribéracois, 13 095    , 564    
200040418,CC du Pays de Serres en Quercy, 5 809    , 278    
200040426,CC du Val de l'Oise, 7 511    , 304    
200040442,CA Luberon Monts de Vaucluse, 29 456    , 1 880    
200040459,CA Montélimar Agglomération, 32 243    , 2 229    
200040475,CC Loué - Brûlon - Noyen, 8 985    , 413    
200040491,CC Porte de Drômardèche, 21 758    , 1 127    
200040509,CC du Crestois et de Pays de Saillans Coeur de Drôme, 8 407    , 541    
200040558,CC Écueillé-Valençay, 7 720    , 384    
200040566,CA de l'Ouest Rhodanien, 26 615    , 1 452    
200040574,CC Beaujolais Pierres Dorées, 21 310    , 1 323    
200040590,CA Villefranche Beaujolais Saône, 34 308    , 2 611    
200040624,CC Pays d'Apt-Luberon, 20 425    , 1 004    
200040657,CC de la Matheysine, 13 011    , 472    
200040681,CC Enclave des Papes-Pays de Grignan, 13 003    , 725    
200040715,Métropole Grenoble-Alpes-Métropole, 227 085    , 13 036    
200040764,CC du Sud Corse, 20 909    , 1 304    
200040772,CC du Perche et Haut Vendômois, 5 729    , 236    
200040798,CC Val Vanoise, 22 199    , 1 027    
200040814,CC Briance Sud Haute Vienne, 5 170    , 215    
200040830,CC du Pays de Fénelon, 6 738    , 283    
200040889,CC de Portes Sud Périgord, 5 492    , 254    
200040905,CC Carmausin-Ségala, 16 763    , 614    
200040947,CC de Flandre Intérieure, 43 450    , 2 471    
200040954,CC des Hauts de Flandre, 22 437    , 1 101    
200041010,CC Coeur de Savoie, 17 290    , 1 019    
200041051,CC Vallée de la Dordogne et Forêt Bessède, 6 630    , 305    
200041150,CC du Terrassonnais en Périgord Noir Thenon Hautefort, 14 092    , 631    
200041168,CC de la Vallée de l'Homme, 11 675    , 574    
200041283,CC de la Plaine du Rhin, 8 691    , 360    
200041317,CA du Niortais, 62 035    , 3 442    
200041325,CC du Pays Rhénan, 15 791    , 797    
200041333,CC de Parthenay-Gâtine, 20 113    , 1 129    
200041366,CC Rhône Crussol, 16 240    , 851    
200041416,CC Airvaudais-Val du Thouet, 4 000    , 192    
200041440,CC de Domme - Villefranche du Périgord, 6 937    , 297    
200041465,CC Val Eyrieux, 10 558    , 393    
200041499,CC Aunis Atlantique, 13 442    , 572    
200041507,CA La Riviera du Levant, 41 487    , 1 360    
200041515,CC du Bassin de Pont-à-Mousson, 18 838    , 909    
200041523,CC de la Haute-Saintonge, 38 367    , 2 312    
200041556,CC Portes de la Creuse en Marche, 5 266    , 149    
200041572,CC Dronne et Belle, 7 451    , 334    
200041614,CC Aunis Sud, 14 779    , 723    
200041622,CC Ardennes Thiérache, 5 074    , 233    
200041630,CA Ardenne Métropole, 63 432    , 3 399    
200041689,CC Vals de Saintonge, 31 141    , 1 624    
200041721,CC de la Haute Comté, 10 134    , 389    
200041762,CA Rochefort Océan, 36 905    , 1 677    
200041788,CA du Pays Nord Martinique, 54 338    , 1 982    
200041853,CC du Pays de Montbozon et du Chanois, 3 157    , 118    
200041861,CC du Triangle Vert, 5 220    , 182    
200041879,CC Terres de Saône, 6 800    , 236    
200041887,CC du Val Marnaysien, 6 470    , 237    
200041960,CC Pévèle-Carembault, 38 638    , 1 893    
200041994,CC Haut Val de Sèvre, 13 890    , 646    
200042000,CC Bruyères-Vallons des Vosges, 7 818    , 349    
