Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,,,,
Informations à l'échelle de la commune,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code commune,Nom commune,Code région,Code département,Siren EPCI,Logements,Établissements,Zones très denses,Engagements L. 33-13,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,OI 2018 T1
54004,Affléville,44,54,200070845, 82    , 4    , -    , -    , -    , 1    , -    ,
69001,Affoux,84,69,200040566, 154    , 4    , -    ,FRTE , -    , 1    , 1    ,
54005,Affracourt,44,54,200035772, 56    , 1    , -    , -    , -    , 1    , -    ,
62010,Affringues,32,62,246201016, 81    , 4    , -    , -    , -    , 1    , -    ,
31001,Agassac,76,31,200072643, 64    , 4    , -    , -    , -    , 1    , -    ,
34003,Agde,76,34,243400819, 47 573    , 1 095    , -    ,SFR0 , -    , -    , -    ,
34004,Agel,76,34,200066348, 180    , 7    , -    , -    , -    , 1    , -    ,
47001,Agen,75,47,200035459, 21 542    , 1 454    , -    ,FRTE , -    , -    , -    ,FRTE
12001,Agen-d'Aveyron,76,12,241200658, 512    , 11    , -    , -    , -    , 1    , 1    ,
21001,Agencourt,27,21,200070894, 158    , 13    , -    , -    , -    , -    , -    ,
80005,Agenville,32,80,200070951, 41    , 1    , -    , -    , -    , 1    , -    ,
80006,Agenvillers,32,80,200070936, 93    , 7    , -    , -    , -    , 1    , -    ,
52001,Ageville,44,52,200068658, 142    , 2    , -    , -    , -    , 1    , -    ,
21002,Agey,27,21,200039055, 151    , 2    , -    , -    , -    , 1    , -    ,
2B002,Aghione,94,2B,200015162, 139    , 19    , -    , -    , -    , 1    , 1    ,
54006,Agincourt,44,54,200070589, 186    , 12    , -    , -    , -    , 1    , -    ,
47002,Agmé,75,47,200030674, 58    , 6    , -    , -    , -    , 1    , -    ,
47003,Agnac,75,47,244700464, 280    , 6    , -    , -    , -    , 1    , -    ,
43001,Agnat,84,43,244301032, 131    , 2    , -    , -    , -    , 1    , 1    ,
50002,Agneaux,28,50,200066389, 2 131    , 178    , -    , -    , -    , -    , -    ,
60007,Agnetz,32,60,246000376, 1 201    , 54    , -    , -    , -    , -    , -    ,ONUM
62011,Agnez-lès-Duisans,32,62,200069482, 271    , 17    , -    , -    , -    , 1    , -    ,
02004,Agnicourt-et-Séchelles,32,02,240200469, 106    , 3    , -    , -    , -    , 1    , -    ,
62012,Agnières,32,62,200069482, 99    , 5    , -    , -    , -    , -    , -    ,
