Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par Commune,,,,
,,,,
,,,,
Code commune,Champ,T3 2017,T4 2017,T1 2018
01183,Locaux Raccordables,40,41,42
01183,Catégorie,5,5,5
01184,Locaux Raccordables,280,279,279
01184,Catégorie,50,50,50
01185,Locaux Raccordables,0,0,0
01185,Catégorie,0,0,0
01186,Locaux Raccordables,0,0,0
01186,Catégorie,0,0,0
01187,Locaux Raccordables,0,0,0
01187,Catégorie,0,0,0
01188,Locaux Raccordables,0,0,0
01188,Catégorie,0,0,0
01189,Locaux Raccordables,415,423,418
01189,Catégorie,50,50,50
01190,Locaux Raccordables,0,0,0
01190,Catégorie,0,0,0
01191,Locaux Raccordables,0,0,0
01191,Catégorie,0,0,0
01192,Locaux Raccordables,837,845,845
01192,Catégorie,50,50,50
01193,Locaux Raccordables,82,95,82
01193,Catégorie,50,50,50
01194,Locaux Raccordables,0,0,0
01194,Catégorie,0,0,0
01195,Locaux Raccordables,0,0,110
01195,Catégorie,0,0,10
01196,Locaux Raccordables,0,0,0
01196,Catégorie,0,0,0
01197,Locaux Raccordables,0,0,0
01197,Catégorie,0,0,0
01198,Locaux Raccordables,0,0,0
01198,Catégorie,0,0,0
01199,Locaux Raccordables,0,0,0
01199,Catégorie,0,0,0
01200,Locaux Raccordables,0,0,0
01200,Catégorie,0,0,0
01202,Locaux Raccordables,195,208,197
01202,Catégorie,5,5,5
01203,Locaux Raccordables,0,0,0
01203,Catégorie,0,0,0
01204,Locaux Raccordables,360,367,367
01204,Catégorie,50,50,50
01205,Locaux Raccordables,428,437,429
01205,Catégorie,80,80,80
01206,Locaux Raccordables,0,0,0
01206,Catégorie,0,0,0
01207,Locaux Raccordables,83,90,90
01207,Catégorie,50,50,50
01208,Locaux Raccordables,0,0,0
01208,Catégorie,0,0,0
01209,Locaux Raccordables,242,282,288
01209,Catégorie,50,80,80
01210,Locaux Raccordables,0,0,0
01210,Catégorie,0,0,0
01211,Locaux Raccordables,0,0,0
01211,Catégorie,0,0,0
01212,Locaux Raccordables,0,0,0
01212,Catégorie,0,0,0
01213,Locaux Raccordables,532,534,535
01213,Catégorie,80,80,80
01214,Locaux Raccordables,106,107,107
01214,Catégorie,80,80,80
01215,Locaux Raccordables,24,27,25
01215,Catégorie,50,50,50
01216,Locaux Raccordables,238,238,238
01216,Catégorie,25,25,25
01218,Locaux Raccordables,0,0,0
01218,Catégorie,0,0,0
01219,Locaux Raccordables,91,102,91
01219,Catégorie,50,80,50
01221,Locaux Raccordables,0,0,0
01221,Catégorie,0,0,0
01224,Locaux Raccordables,0,0,0
01224,Catégorie,0,0,0
01225,Locaux Raccordables,0,0,0
01225,Catégorie,0,0,0
01227,Locaux Raccordables,250,251,251
01227,Catégorie,80,80,80
01228,Locaux Raccordables,271,279,276
01228,Catégorie,50,50,50
01229,Locaux Raccordables,0,0,0
01229,Catégorie,0,0,0
01230,Locaux Raccordables,0,0,0
01230,Catégorie,0,0,0
01231,Locaux Raccordables,749,751,749
01231,Catégorie,80,80,80
01232,Locaux Raccordables,204,205,219
01232,Catégorie,10,10,10
01233,Locaux Raccordables,86,100,86
01233,Catégorie,80,80,80
01234,Locaux Raccordables,71,71,71
01234,Catégorie,50,50,50
01235,Locaux Raccordables,0,0,0
01235,Catégorie,0,0,0
01236,Locaux Raccordables,0,0,0
01236,Catégorie,0,0,0
01237,Locaux Raccordables,0,0,0
01237,Catégorie,0,0,0
01238,Locaux Raccordables,0,0,0
01238,Catégorie,0,0,0
01239,Locaux Raccordables,0,0,0
01239,Catégorie,0,0,0
01240,Locaux Raccordables,0,0,0
01240,Catégorie,0,0,0
01241,Locaux Raccordables,0,0,0
01241,Catégorie,0,0,0
01242,Locaux Raccordables,0,0,0
01242,Catégorie,0,0,0
01243,Locaux Raccordables,0,0,0
01243,Catégorie,0,0,0
01244,Locaux Raccordables,0,0,0
01244,Catégorie,0,0,0
01245,Locaux Raccordables,334,334,334
01245,Catégorie,50,50,50
01246,Locaux Raccordables,4,4,4
01246,Catégorie,5,5,5
01247,Locaux Raccordables,137,156,156
01247,Catégorie,10,10,10
01248,Locaux Raccordables,709,738,780
01248,Catégorie,50,80,80
01249,Locaux Raccordables,65,66,66
01249,Catégorie,5,5,5
01250,Locaux Raccordables,428,441,443
01250,Catégorie,50,50,50
01252,Locaux Raccordables,0,0,323
01252,Catégorie,0,0,80
01254,Locaux Raccordables,830,840,848
01254,Catégorie,80,80,80
01255,Locaux Raccordables,266,276,269
01255,Catégorie,80,80,80
01257,Locaux Raccordables,153,159,162
01257,Catégorie,50,50,80
01258,Locaux Raccordables,466,467,468
01258,Catégorie,80,80,80
01259,Locaux Raccordables,0,0,0
01259,Catégorie,0,0,0
01260,Locaux Raccordables,0,0,0
01260,Catégorie,0,0,0
01261,Locaux Raccordables,180,182,182
01261,Catégorie,50,50,50
01262,Locaux Raccordables,553,562,565
01262,Catégorie,10,10,10
01263,Locaux Raccordables,0,0,0
01263,Catégorie,0,0,0
01264,Locaux Raccordables,0,0,0
01264,Catégorie,0,0,0
01265,Locaux Raccordables,517,521,518
01265,Catégorie,25,25,25
01266,Locaux Raccordables,2,2,1
01266,Catégorie,5,5,5
01267,Locaux Raccordables,329,347,329
01267,Catégorie,50,50,50
01268,Locaux Raccordables,0,0,0
01268,Catégorie,0,0,0
01269,Locaux Raccordables,316,316,316
01269,Catégorie,10,10,10
01272,Locaux Raccordables,0,0,0
01272,Catégorie,0,0,0
01273,Locaux Raccordables,0,0,0
01273,Catégorie,0,0,0
01274,Locaux Raccordables,282,283,283
01274,Catégorie,80,80,80
01275,Locaux Raccordables,0,0,0
01275,Catégorie,0,0,0
01276,Locaux Raccordables,541,550,553
01276,Catégorie,80,80,80
01277,Locaux Raccordables,0,0,0
01277,Catégorie,0,0,0
01279,Locaux Raccordables,0,0,0
01279,Catégorie,0,0,0
01280,Locaux Raccordables,0,0,0
01280,Catégorie,0,0,0
01281,Locaux Raccordables,1218,1250,1251
01281,Catégorie,50,50,50
01282,Locaux Raccordables,89,97,92
01282,Catégorie,50,50,50
01283,Locaux Raccordables,2842,2871,3526
01283,Catégorie,10,10,25
01284,Locaux Raccordables,320,320,321
01284,Catégorie,80,80,80
01285,Locaux Raccordables,0,0,0
01285,Catégorie,0,0,0
01286,Locaux Raccordables,0,0,0
01286,Catégorie,0,0,0
01288,Locaux Raccordables,659,664,667
01288,Catégorie,50,50,50
01289,Locaux Raccordables,970,1031,1033
01289,Catégorie,25,25,25
01290,Locaux Raccordables,0,0,0
01290,Catégorie,0,0,0
01291,Locaux Raccordables,316,317,317
01291,Catégorie,80,80,80
01293,Locaux Raccordables,0,0,0
01293,Catégorie,0,0,0
01294,Locaux Raccordables,0,0,0
01294,Catégorie,0,0,0
01295,Locaux Raccordables,223,223,223
01295,Catégorie,80,80,80
01296,Locaux Raccordables,173,174,174
01296,Catégorie,80,80,80
01297,Locaux Raccordables,318,319,320
01297,Catégorie,80,80,80
01298,Locaux Raccordables,0,0,0
01298,Catégorie,0,0,0
01299,Locaux Raccordables,0,0,0
01299,Catégorie,0,0,0
01301,Locaux Raccordables,0,0,0
01301,Catégorie,0,0,0
01302,Locaux Raccordables,100,107,102
01302,Catégorie,80,80,80
01303,Locaux Raccordables,0,0,0
01303,Catégorie,0,0,0
01304,Locaux Raccordables,0,0,0
01304,Catégorie,0,0,0
01305,Locaux Raccordables,0,0,0
01305,Catégorie,0,0,0
01306,Locaux Raccordables,0,0,0
01306,Catégorie,0,0,0
01307,Locaux Raccordables,340,343,340
01307,Catégorie,50,50,50
01308,Locaux Raccordables,264,312,312
01308,Catégorie,50,50,50
01309,Locaux Raccordables,0,0,0
01309,Catégorie,0,0,0
01310,Locaux Raccordables,0,0,0
01310,Catégorie,0,0,0
01311,Locaux Raccordables,0,0,0
01311,Catégorie,0,0,0
01313,Locaux Raccordables,2519,2760,2751
01313,Catégorie,50,50,50
01314,Locaux Raccordables,188,188,189
01314,Catégorie,10,10,10
01317,Locaux Raccordables,0,0,0
01317,Catégorie,0,0,0
01318,Locaux Raccordables,239,239,239
01318,Catégorie,80,80,80
01319,Locaux Raccordables,0,0,0
01319,Catégorie,0,0,0
01320,Locaux Raccordables,36,35,35
01320,Catégorie,5,5,5
01321,Locaux Raccordables,380,381,381
01321,Catégorie,80,80,80
01322,Locaux Raccordables,51,52,52
01322,Catégorie,5,5,5
01323,Locaux Raccordables,451,451,453
01323,Catégorie,80,80,80
01325,Locaux Raccordables,367,368,369
01325,Catégorie,80,80,80
01328,Locaux Raccordables,117,117,116
01328,Catégorie,50,50,50
01329,Locaux Raccordables,0,0,0
01329,Catégorie,0,0,0
01330,Locaux Raccordables,0,0,0
01330,Catégorie,0,0,0
01331,Locaux Raccordables,0,0,0
01331,Catégorie,0,0,0
01332,Locaux Raccordables,5,0,0
01332,Catégorie,5,0,0
01333,Locaux Raccordables,71,75,75
01333,Catégorie,5,5,5
01334,Locaux Raccordables,230,229,229
01334,Catégorie,80,80,80
01335,Locaux Raccordables,1,140,140
01335,Catégorie,5,80,80
01336,Locaux Raccordables,423,425,423
01336,Catégorie,80,80,80
01337,Locaux Raccordables,586,586,586
01337,Catégorie,80,80,80
01338,Locaux Raccordables,100,101,100
01338,Catégorie,10,10,10
01339,Locaux Raccordables,0,0,0
01339,Catégorie,0,0,0
01341,Locaux Raccordables,0,0,0
01341,Catégorie,0,0,0
01342,Locaux Raccordables,187,189,188
01342,Catégorie,80,80,80
01343,Locaux Raccordables,768,783,782
01343,Catégorie,80,80,80
01344,Locaux Raccordables,1206,1330,1413
01344,Catégorie,25,25,50
01345,Locaux Raccordables,0,0,0
01345,Catégorie,0,0,0
01346,Locaux Raccordables,249,250,250
01346,Catégorie,50,50,50
01347,Locaux Raccordables,0,0,0
01347,Catégorie,0,0,0
01348,Locaux Raccordables,0,0,0
01348,Catégorie,0,0,0
01349,Locaux Raccordables,148,151,151
01349,Catégorie,50,50,50
01350,Locaux Raccordables,0,0,0
01350,Catégorie,0,0,0
01351,Locaux Raccordables,0,0,0
01351,Catégorie,0,0,0
01352,Locaux Raccordables,0,0,0
01352,Catégorie,0,0,0
01353,Locaux Raccordables,221,222,226
01353,Catégorie,25,25,25
01354,Locaux Raccordables,2247,2742,2733
01354,Catégorie,25,50,50
01355,Locaux Raccordables,138,158,158
01355,Catégorie,50,50,50
01356,Locaux Raccordables,0,0,0
01356,Catégorie,0,0,0
01357,Locaux Raccordables,230,250,229
01357,Catégorie,50,80,50
01358,Locaux Raccordables,192,193,193
01358,Catégorie,50,50,50
01359,Locaux Raccordables,0,0,0
01359,Catégorie,0,0,0
01360,Locaux Raccordables,441,456,468
01360,Catégorie,50,50,50
01361,Locaux Raccordables,657,671,669
01361,Catégorie,80,80,80
01362,Locaux Raccordables,287,296,296
01362,Catégorie,80,80,80
01363,Locaux Raccordables,0,0,0
01363,Catégorie,0,0,0
01364,Locaux Raccordables,0,0,0
01364,Catégorie,0,0,0
01365,Locaux Raccordables,336,340,335
01365,Catégorie,50,50,50
01366,Locaux Raccordables,347,354,353
01366,Catégorie,80,80,80
01367,Locaux Raccordables,0,0,0
01367,Catégorie,0,0,0
01368,Locaux Raccordables,278,281,285
01368,Catégorie,80,80,80
01369,Locaux Raccordables,392,392,394
01369,Catégorie,80,80,80
01370,Locaux Raccordables,0,0,0
01370,Catégorie,0,0,0
01371,Locaux Raccordables,459,465,464
01371,Catégorie,50,50,50
01372,Locaux Raccordables,0,0,0
01372,Catégorie,0,0,0
01373,Locaux Raccordables,0,0,0
01373,Catégorie,0,0,0
01374,Locaux Raccordables,0,0,0
01374,Catégorie,0,0,0
01375,Locaux Raccordables,317,319,319
01375,Catégorie,80,80,80
01376,Locaux Raccordables,0,0,0
01376,Catégorie,0,0,0
01378,Locaux Raccordables,0,0,0
01378,Catégorie,0,0,0
01379,Locaux Raccordables,0,0,0
01379,Catégorie,0,0,0
01380,Locaux Raccordables,57,56,56
01380,Catégorie,10,10,10
01381,Locaux Raccordables,280,286,288
01381,Catégorie,50,50,50
01382,Locaux Raccordables,87,91,91
01382,Catégorie,50,50,50
01383,Locaux Raccordables,0,0,0
01383,Catégorie,0,0,0
01384,Locaux Raccordables,0,0,0
01384,Catégorie,0,0,0
01385,Locaux Raccordables,0,0,0
01385,Catégorie,0,0,0
01386,Locaux Raccordables,119,124,123
01386,Catégorie,10,10,10
01387,Locaux Raccordables,1,1,1
01387,Catégorie,5,5,5
01388,Locaux Raccordables,561,578,577
01388,Catégorie,80,80,80
01389,Locaux Raccordables,441,894,447
01389,Catégorie,50,80,50
01390,Locaux Raccordables,138,139,178
01390,Catégorie,25,25,25
01391,Locaux Raccordables,0,0,0
01391,Catégorie,0,0,0
01392,Locaux Raccordables,0,0,224
01392,Catégorie,0,0,80
01393,Locaux Raccordables,205,205,206
01393,Catégorie,80,80,80
01396,Locaux Raccordables,380,383,381
01396,Catégorie,50,50,50
01397,Locaux Raccordables,461,475,476
01397,Catégorie,80,80,80
01398,Locaux Raccordables,393,406,414
01398,Catégorie,50,50,50
01399,Locaux Raccordables,754,771,774
01399,Catégorie,80,80,80
01400,Locaux Raccordables,0,65,61
01400,Catégorie,0,50,50
01401,Locaux Raccordables,488,561,556
01401,Catégorie,50,50,50
01402,Locaux Raccordables,0,0,0
01402,Catégorie,0,0,0
01403,Locaux Raccordables,585,596,591
01403,Catégorie,80,80,80
01404,Locaux Raccordables,107,108,108
01404,Catégorie,50,50,50
01405,Locaux Raccordables,0,0,0
01405,Catégorie,0,0,0
01406,Locaux Raccordables,0,0,0
01406,Catégorie,0,0,0
01407,Locaux Raccordables,9,11,9
01407,Catégorie,5,5,5
01408,Locaux Raccordables,333,333,333
01408,Catégorie,80,80,80
01410,Locaux Raccordables,0,0,0
01410,Catégorie,0,0,0
01411,Locaux Raccordables,73,73,73
01411,Catégorie,25,25,25
01412,Locaux Raccordables,0,0,0
01412,Catégorie,0,0,0
01413,Locaux Raccordables,31,31,31
01413,Catégorie,25,25,25
01414,Locaux Raccordables,0,0,0
01414,Catégorie,0,0,0
01415,Locaux Raccordables,0,0,0
01415,Catégorie,0,0,0
01416,Locaux Raccordables,0,0,0
01416,Catégorie,0,0,0
01417,Locaux Raccordables,0,0,0
01417,Catégorie,0,0,0
01418,Locaux Raccordables,157,361,358
01418,Catégorie,25,80,80
01419,Locaux Raccordables,1849,1909,1915
01419,Catégorie,50,50,50
01420,Locaux Raccordables,0,0,0
01420,Catégorie,0,0,0
01421,Locaux Raccordables,0,385,385
01421,Catégorie,0,80,80
01422,Locaux Raccordables,0,0,0
01422,Catégorie,0,0,0
01423,Locaux Raccordables,363,394,393
01423,Catégorie,80,80,80
01424,Locaux Raccordables,0,0,686
01424,Catégorie,0,0,80
01425,Locaux Raccordables,117,135,134
01425,Catégorie,80,80,80
01426,Locaux Raccordables,0,0,0
01426,Catégorie,0,0,0
01427,Locaux Raccordables,0,0,0
01427,Catégorie,0,0,0
01428,Locaux Raccordables,0,0,0
01428,Catégorie,0,0,0
01429,Locaux Raccordables,0,0,0
01429,Catégorie,0,0,0
01430,Locaux Raccordables,1,18,1
01430,Catégorie,5,5,5
01431,Locaux Raccordables,0,0,0
01431,Catégorie,0,0,0
01432,Locaux Raccordables,0,0,0
01432,Catégorie,0,0,0
01433,Locaux Raccordables,0,0,0
01433,Catégorie,0,0,0
01434,Locaux Raccordables,0,0,0
01434,Catégorie,0,0,0
01435,Locaux Raccordables,731,734,733
01435,Catégorie,80,80,80
01436,Locaux Raccordables,175,179,178
01436,Catégorie,50,50,50
01437,Locaux Raccordables,77,76,75
01437,Catégorie,50,50,50
01439,Locaux Raccordables,0,0,0
01439,Catégorie,0,0,0
01441,Locaux Raccordables,0,0,0
01441,Catégorie,0,0,0
01442,Locaux Raccordables,0,0,0
01442,Catégorie,0,0,0
01443,Locaux Raccordables,0,0,0
01443,Catégorie,0,0,0
01444,Locaux Raccordables,358,367,366
01444,Catégorie,50,50,50
01445,Locaux Raccordables,0,0,0
01445,Catégorie,0,0,0
01446,Locaux Raccordables,514,515,523
01446,Catégorie,80,80,80
01447,Locaux Raccordables,0,0,0
01447,Catégorie,0,0,0
01448,Locaux Raccordables,161,160,160
01448,Catégorie,80,80,80
01449,Locaux Raccordables,0,0,0
01449,Catégorie,0,0,0
01450,Locaux Raccordables,0,0,0
01450,Catégorie,0,0,0
01451,Locaux Raccordables,924,947,921
01451,Catégorie,25,25,25
01452,Locaux Raccordables,0,0,0
01452,Catégorie,0,0,0
